marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
FORD,Puma,petrol/electric,28250,32225.0,92.0,456.0,5.5,,4225.0,10,True,anteriore,1805.0,1550.0
FORD,Puma Gen-E,electric,33250,36475.0,52.0,574.0,15.0,,4225.0,4,True,anteriore,1805.0,1555.0
FORD,Tourneo Connect,diesel,33250,39250.0,90.0,1213.0,5.1,,4676.5,8,False,anteriore,1855.0,1834.0
FORD,Tourneo Connect,petrol,31750,34125.0,85.0,1213.0,5.9,,4676.5,4,False,anteriore,1855.0,1834.0
FORD,Tourneo Connect,petrol/electric,41250,43750.0,110.0,1213.0,5.5,,4676.5,6,True,anteriore,1855.0,1834.0
FORD,Tourneo Courier,petrol,24400,26700.0,92.0,,6.5,,4343.0,4,True,anteriore,1813.0,1827.0
HONDA,CR-V,petrol/electric,46900,50900.0,135.0,587.0,5.3,,4706.0,5,False,anteriore,1866.0,1674.0
HONDA,Civic,petrol,63900,63900.0,242.0,410.0,8.5,,4594.0,1,True,anteriore,1802.0,1408.0
HONDA,Civic,petrol/electric,37500,38500.0,135.0,415.0,3.4,,4560.0,3,False,anteriore,1802.0,1408.0
HONDA,HR-V,petrol/electric,34500,37600.0,96.0,327.5,5.5,,4355.0,4,True,anteriore,1790.0,1582.0
HONDA,Jazz,petrol/electric,25700,28000.0,90.0,304.0,3.6,,4089.0,4,False,anteriore,1694.0,1526.0
HONDA,Prelude,petrol/electric,50900,50900.0,135.0,269.0,3.4,,4525.0,1,False,anteriore,1880.0,1349.0
HONDA,ZR-V,petrol/electric,42300,43900.0,135.0,390.0,5.3,,4568.0,3,False,anteriore,1840.0,1620.0
HYUNDAI,Bayon,lpg,22850,23675.0,58.0,400.0,6.0,,4180.0,2,False,anteriore,1775.0,1500.0
HYUNDAI,Bayon,petrol,21350,24100.0,66.0,411.0,5.5,,4180.0,8,True,anteriore,1775.0,1500.0
HYUNDAI,Bayon,petrol/electric,25300,27300.0,74.0,352.0,5.5,,4180.0,3,False,anteriore,1775.0,1500.0
HYUNDAI,Inster,electric,26650,27650.0,28.0,280.0,15.0,,3825.0,3,True,anteriore,1610.0,1575.0
