marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm,carrozzeria_prevalente
CUPRA,Leon station,petrol,34600,43050.0,150.0,620.0,6.3,,4656.0,9,False,anteriore,1799.0,1438.0,station wagon
CUPRA,Leon station,full_hybrid,38400,45950.0,150.0,470.0,6.5,,4656.0,9,True,anteriore,1799.0,1438.0,station wagon
CUPRA,Raval,electric,35950,39950.0,70.0,441.0,15.0,,4046.0,3,True,anteriore,1784.0,1514.0,Suv/Fuoristrada
CUPRA,Tavascan,electric,52800,59550.0,89.0,540.0,18.0,,4644.0,5,True,posteriore,1861.0,1597.0,Suv/Fuoristrada
CUPRA,Terramar,petrol,47550,49650.0,150.0,540.0,8.5,,4519.0,6,True,anteriore,1863.0,1584.0,Suv/Fuoristrada
CUPRA,Terramar,full_hybrid,43650,49100.0,150.0,400.0,6.5,,4519.0,9,True,anteriore,1863.0,1584.0,Suv/Fuoristrada
DACIA,Bigster,full_hybrid,24800,27800.0,103.0,609.0,5.5,,4570.0,17,True,anteriore,1813.0,1711.0,Suv/Fuoristrada
DACIA,Duster,lpg,19900,23350.0,90.0,517.0,8.5,,4343.0,11,True,anteriore,1813.0,1616.0,Suv/Fuoristrada
DACIA,Duster,full_hybrid,23150,28150.0,104.0,517.0,5.5,,4343.0,14,True,anteriore,1813.0,1616.0,Suv/Fuoristrada
DACIA,Jogger,lpg,18100,21500.0,90.0,708.0,6.0,,4547.0,17,False,anteriore,1784.0,1674.0,monovolume e multispazio
DACIA,Jogger,petrol,20700,21975.0,81.0,434.0,6.0,,4547.0,4,False,anteriore,1784.0,1674.0,monovolume e multispazio
DACIA,Jogger,full_hybrid,25150,26850.0,115.0,160.0,4.6,,4547.0,11,False,anteriore,1784.0,1674.0,monovolume e multispazio
DACIA,Sandero,lpg,16500,18200.0,90.0,410.0,8.5,,4099.0,9,True,anteriore,1758.0,1499.0,berlina 3/5 porte
